filename,gpu_time,paper_words,summary_words,paper_tokens,summary_tokens
10209186.pdf,238.4250407218933,20733,4396,29053,5547
10246952.pdf,108.69399333000185,8712,1785,13012,2451
10247303.pdf,131.50356769561768,5941,1153,8878,1548
10400421.pdf,172.91108560562134,11003,2445,17013,3225
8476548.pdf,100.73481559753418,5617,1062,8227,1419
8726288.pdf,111.11034369468688,6184,1341,9279,1677
9099835.pdf,128.66531229019165,9708,1816,12865,2322
9494351.pdf,132.77812957763672,11628,2150,15622,2838
9509431.pdf,489.047397851944,6951,1266,9485,1677
9781308.pdf,165.0809347629547,14188,3121,21294,3999
9303358.pdf,148.88303470611572,12157,2654,18454,3483
9994688.pdf,133.41350483894348,8528,1855,13558,2451
9751052.pdf,296.18361830711365,29306,5859,40848,7740
9623462.pdf,248.75792026519773,20119,4469,31088,5934
9528391.pdf,116.50003457069396,7808,1498,11216,2064
10347209.pdf,116.12460684776306,8244,1732,11939,2193
8809688.pdf,125.2928705215454,7197,1402,9970,1806
8936376.pdf,144.75548720359802,8849,1782,12906,2322
10272590.pdf,158.9623897075653,7598,1589,12454,2322
8124190.pdf,70.16853165626526,4407,866,6439,1161
10246861.pdf,65.92694783210754,5298,1013,7629,1290
8681067.pdf,107.55833172798155,5706,1137,7902,1419
9536694.pdf,149.66158652305603,11115,2235,16148,2967
10154027.pdf,95.97185564041138,5563,1133,7796,1419
9664379.pdf,105.1213161945343,5417,1043,8215,1419
10272614.pdf,175.6130850315094,13130,2878,19954,3741
9946852.pdf,113.3976240158081,8311,1679,12212,2193
9592800.pdf,83.86458802223206,7576,1428,10136,1806
9648168.pdf,117.39720225334167,9971,2046,13686,2580
6671917.pdf,114.10313057899477,9533,1894,13867,2580
9456899.pdf,156.85778832435608,10230,2171,15760,2967
9507422.pdf,91.64634156227112,4652,950,7115,1290
8840857.pdf,119.81801462173462,6920,1351,10130,1806
8955869.pdf,115.04705691337584,6288,1237,8761,1548
8664480.pdf,131.99685049057007,7699,1481,10883,1935
9955486.pdf,148.38639044761658,10844,2260,15014,2838
8344797.pdf,77.95023512840271,5013,979,7279,1290
10247528.pdf,150.1169307231903,9810,2047,15571,2838
8421226.pdf,130.29864120483398,9301,1833,12468,2322
10210378.pdf,129.7761116027832,6677,1388,10098,1806
9137631.pdf,130.07685565948486,6469,1329,9922,1806
8537891.pdf,137.5539426803589,7900,1516,10623,1935
9483920.pdf,113.5828022956848,3792,758,6057,1032
10413543.pdf,203.74066615104675,8727,1967,14314,2580
9745150.pdf,163.62736988067627,6279,1314,9537,1677
9539169.pdf,136.6489977836609,8091,1523,12309,2193
9139935.pdf,103.01791214942932,7965,1606,11372,2064
8910526.pdf,85.26895117759705,4948,1000,7358,1290
9779775.pdf,120.63293290138245,8120,1535,11348,2064
9709290.pdf,96.18439602851868,4815,915,6971,1161
9055390.pdf,153.61354875564575,8787,1697,12553,2322
8421576.pdf,109.2759726047516,5115,943,6918,1161
7422088.pdf,194.06129264831543,9259,2013,14481,2709
9284441.pdf,148.8239107131958,7355,1443,10794,1935
10315005.pdf,104.50127410888672,7924,1687,12109,2193
8643786.pdf,115.61527228355408,8830,1726,12681,2322
10005108.pdf,81.54595899581909,5526,1065,7979,1419
9146834.pdf,116.60984301567078,8577,1788,12889,2322
8937799.pdf,103.82723212242126,6427,1220,9012,1548
9032188.pdf,114.95877575874329,7713,1460,10658,1935
10373873.pdf,116.85342240333556,6297,1354,9869,1806
10375486.pdf,174.04602456092834,10233,2242,16185,2967
9796176.pdf,119.53871178627014,2791,620,6071,1032
10044683.pdf,135.6362988948822,8283,1719,11545,2064
9057451.pdf,99.64332675933838,6245,1233,9459,1677
9382981.pdf,93.8434681892395,7153,1446,10506,1935
9321308.pdf,110.17010164260864,6510,1282,9968,1806
9314168.pdf,106.17048287391664,7458,1437,10696,1935
10129176.pdf,139.53367590904236,8599,1774,13282,2451
9298823.pdf,84.78847932815552,3958,799,6038,1032
9091541.pdf,118.4049596786499,6624,1293,9381,1677
9380377.pdf,117.61396193504332,4964,959,7529,1290
10131908.pdf,127.82436108589172,6286,1341,9418,1677
8604143.pdf,116.74047875404358,4645,949,6518,1161
8642858.pdf,78.51659798622131,6879,1322,9105,1677
9269966.pdf,99.351247549057,8494,1592,11972,2193
10348571.pdf,100.18062329292296,7316,1555,11566,2064
10054384.pdf,89.10927248001099,5205,1097,7761,1419
10032547.pdf,116.33295583724976,7301,1421,11011,1935
8412183.pdf,122.64846587181091,8345,1612,11445,2064
9343307.pdf,130.79629230499268,9232,1891,12573,2322
8782559.pdf,103.9599437713623,4747,884,6387,1161
9815254.pdf,135.22163558006287,6650,1361,10126,1806
9151114.pdf,141.99582958221436,7092,1446,10425,1935
10018187.pdf,57.35013341903687,3447,696,5238,903
8715406.pdf,93.05659008026124,6340,1342,9797,1806
10251928.pdf,75.56486105918884,6724,1237,8648,1548
9902992.pdf,129.5155384540558,10401,2146,15041,2838
10246954.pdf,100.05023097991943,4759,1048,8057,1419
10103876.pdf,167.08481097221377,11708,2723,18643,3483
7944559.pdf,111.74797415733336,6467,1255,9649,1677
9293302.pdf,109.3512225151062,5329,1001,7576,1290
9654190.pdf,128.35361766815186,6333,1294,9200,1677
10416832.pdf,157.17218446731567,8041,1779,12428,2322
10113620.pdf,90.83040928840637,6320,1249,9665,1677
8606919.pdf,96.67034435272217,7753,1617,11620,2064
9745159.pdf,137.124609708786,13123,2538,18185,3354
9107114.pdf,81.21371006965637,4752,1000,7185,1290
9328413.pdf,140.1588158607483,11154,2305,16372,3096
9490211.pdf,165.3306016921997,11775,2310,16994,3096
