filename,cpu_time,gpu_time,paper_words,summary_words,paper_tokens,summary_tokens
10005108.pdf,862.9414958953857,81.54595899581909,5526,1065,7979,1419
10018187.pdf,640.7921345233917,57.35013341903687,3447,696,5238,903
10032547.pdf,1018.3897292613984,116.33295583724976,7301,1421,11011,1935
10044683.pdf,1213.0126504898071,135.6362988948822,8283,1719,11545,2064
10054384.pdf,926.5438492298126,89.10927248001099,5205,1097,7761,1419
10103876.pdf,1653.798859357834,167.08481097221377,11708,2723,18643,3483
10113620.pdf,1231.8105034828186,90.83040928840636,6320,1249,9665,1677
10129176.pdf,1488.2689263820648,139.53367590904236,8599,1774,13282,2451
10131908.pdf,1228.3547892570496,127.82436108589172,6286,1341,9418,1677
10154027.pdf,1434.0393998622894,95.97185564041138,5563,1133,7796,1419
10209186.pdf,3792.53326010704,238.4250407218933,20733,4396,29053,5547
10210378.pdf,1769.5456624031067,129.7761116027832,6677,1388,10098,1806
10246861.pdf,846.4330129623413,65.92694783210754,5298,1013,7629,1290
10246952.pdf,1215.092439413071,108.69399333000185,8712,1785,13012,2451
10246954.pdf,902.449464082718,100.05023097991943,4759,1048,8057,1419
10247303.pdf,1079.2077043056488,131.50356769561768,5941,1153,8878,1548
10247528.pdf,1467.3069036006927,150.1169307231903,9810,2047,15571,2838
10251928.pdf,1068.6963334083557,75.56486105918884,6724,1237,8648,1548
10272590.pdf,1586.7860329151154,158.9623897075653,7598,1589,12454,2322
10272614.pdf,1988.149697780609,175.6130850315094,13130,2878,19954,3741
10315005.pdf,1504.7706093788147,104.50127410888672,7924,1687,12109,2193
10347209.pdf,1781.3671026229858,116.12460684776306,8244,1732,11939,2193
10348571.pdf,1731.3625268936155,100.18062329292296,7316,1555,11566,2064
10373873.pdf,1602.740875005722,116.85342240333556,6297,1354,9869,1806
10375486.pdf,3002.75336265564,174.04602456092834,10233,2242,16185,2967
10400421.pdf,3149.340813398361,172.91108560562134,11003,2445,17013,3225
10413543.pdf,2657.938446044922,203.74066615104675,8727,1967,14314,2580
10416832.pdf,1624.4412641525269,157.17218446731567,8041,1779,12428,2322
6671917.pdf,1712.204568386078,114.10313057899477,9533,1894,13867,2580
7422088.pdf,1801.57079911232,194.06129264831543,9259,2013,14481,2709
7944559.pdf,1144.096851348877,111.74797415733336,6467,1255,9649,1677
8124190.pdf,968.1888358592988,70.16853165626526,4407,866,6439,1161
8344797.pdf,1040.4538340568542,77.95023512840271,5013,979,7279,1290
8412183.pdf,1362.190670490265,122.64846587181091,8345,1612,11445,2064
8421226.pdf,1429.067656993866,130.29864120483398,9301,1833,12468,2322
8421576.pdf,965.371279001236,109.2759726047516,5115,943,6918,1161
8476548.pdf,1482.011638879776,100.73481559753418,5617,1062,8227,1419
8537891.pdf,1723.2626032829285,137.5539426803589,7900,1516,10623,1935
8604143.pdf,1192.3432261943815,116.74047875404358,4645,949,6518,1161
8606919.pdf,2095.715654850006,96.67034435272215,7753,1617,11620,2064
8642858.pdf,1734.7690975666046,78.51659798622131,6879,1322,9105,1677
8643786.pdf,2240.8878071308136,115.61527228355408,8830,1726,12681,2322
8664480.pdf,1922.644831418991,131.99685049057007,7699,1481,10883,1935
8681067.pdf,1630.7597074508667,107.55833172798155,5706,1137,7902,1419
